Provisioning Status
Subscription ID,Subscription Name,Order Id,Description,Billing Date(Anniversary Date),Offer Name,Service Name,Subs Status,Subs Extra Status,Provisioning Status
"""53982d63-dde4-4554-a292-bbcdf1563f4e""","""Pay-As-You-Go""","""e40c7bb7-451f-43c1-a304-119ef10bcf49""","""Pay-As-You-Go""",10,,"""Azure Service Component""",Enabled,None,Provisioned

Statement
Billing Period,Meter Category,Meter Sub-category,Meter Name,Meter Region,SKU,Unit,Consumed Quantity,Included Quantity,Within Commitment,Overage Quantity,Currency,Overage,Commitment Rate,Rate,Value
8/10/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.001218,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/sites/ReadySetResource3""","""{}""","""{""HostNames"":""www.readysetresource.com,readysetresource.com"",""AppServicePlanUri"":""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""}""",,
8/10/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.0000075567513704299927,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource""","""{}""","""{}""",,
8/10/2018,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.0000051520764827728271,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
8/10/2018,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.00000041723251342773438,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource""","""{}""","""{}""",,
8/10/2018,"""App Services""","""0f824807-2376-435c-95c9-f992b67a07b0""","""Key Vault""","""Operations (in 10,000s)""",,"""10,000s""",0.0002,"""ukwest""","""Microsoft.KeyVault""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.KeyVault/vaults/RSR-Vault""","""{}""","""{}""",,
8/10/2018,"""Data Services""","""d72ca4ba-8925-4d30-bbd9-ebbe0c917841""","""SQL Database""","""Basic Database Days""","""UK West""","""Days""",0.999999999999999936,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
8/11/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.000201519578695297243,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
8/11/2018,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/sites/ReadySetResource3""","""{}""","""{""HostNames"":""www.readysetresource.com,readysetresource.com"",""AppServicePlanUri"":""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""}""",,
8/11/2018,"""Azure App Service""","""ba302f7a-078b-4141-a636-a76315ba44ce""",,"""Basic Small App Service Hours""",,"""Hours""",24.0,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""","""{}""","""{}""",,
8/11/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.001324,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/sites/ReadySetResource3""","""{}""","""{""HostNames"":""www.readysetresource.com,readysetresource.com"",""AppServicePlanUri"":""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""}""",,
